,Acc_X,Acc_Y,Acc_Z,EDA_Level,Heart_Rate,Skin_Temperature,id,datetime,Stress_Level
84254,17.0,-44.0,-42.0,3.61715,103.25,33.97,15,2020-07-21 13:24:52.843749888,0.0
84261,17.0,-44.0,-42.0,3.60049,103.12,33.97,15,2020-07-21 13:24:53.062500096,0.0
84318,17.0,-44.0,-43.0,3.547946,103.0,33.99,15,2020-07-21 13:24:54.843749888,0.0
84319,17.0,-43.0,-44.0,3.547946,103.0,33.99,15,2020-07-21 13:24:54.875000064,0.0
84320,17.0,-44.0,-44.0,3.547946,103.0,33.99,15,2020-07-21 13:24:54.906249984,0.0
84326,17.0,-44.0,-42.0,3.540257,102.82,33.99,15,2020-07-21 13:24:55.093750016,0.0
84329,17.0,-44.0,-43.0,3.540257,102.82,33.99,15,2020-07-21 13:24:55.187500032,0.0
84345,17.0,-43.0,-43.0,3.537694,102.82,33.99,15,2020-07-21 13:24:55.687500032,0.0
84346,17.0,-43.0,-44.0,3.537694,102.82,33.99,15,2020-07-21 13:24:55.718749952,0.0
84347,17.0,-43.0,-44.0,3.531286,102.82,33.99,15,2020-07-21 13:24:55.750000128,0.0
84349,17.0,-43.0,-44.0,3.531286,102.82,33.99,15,2020-07-21 13:24:55.812499968,0.0
84350,17.0,-44.0,-44.0,3.531286,102.82,33.99,15,2020-07-21 13:24:55.843749888,0.0
84351,17.0,-44.0,-45.0,3.531286,102.82,33.99,15,2020-07-21 13:24:55.875000064,0.0
84528,17.0,-43.0,-42.0,3.4608,101.37,34.03,15,2020-07-21 13:25:01.406249984,0.0
84667,17.0,-44.0,-42.0,3.366619,100.38,34.07,15,2020-07-21 13:25:05.750000128,0.0
84668,17.0,-44.0,-42.0,3.366619,100.38,34.07,15,2020-07-21 13:25:05.781250048,0.0
84879,17.0,-44.0,-42.0,3.251278,98.23,34.09,15,2020-07-21 13:25:12.375000064,0.0
90057,17.0,-68.0,-13.0,4.665258,99.03,34.43,15,2020-07-21 13:27:54.187500032,0.0
90150,17.0,-55.0,3.0,4.207951,99.75,34.47,15,2020-07-21 13:27:57.093750016,0.0
94156,17.0,-74.0,-4.0,0.425669,90.77,32.47,15,2020-07-21 16:19:02.249999872,2.0
94244,17.0,-84.0,8.0,0.417981,89.4,32.45,15,2020-07-21 16:19:05.000000000,2.0
108160,17.0,47.0,42.0,0.555083,90.77,32.16,15,2020-07-21 16:26:19.875000064,2.0
108161,17.0,44.0,40.0,0.555083,90.77,32.16,15,2020-07-21 16:26:19.906249984,2.0
108196,17.0,44.0,42.0,0.558927,91.03,32.16,15,2020-07-21 16:26:21.000000000,2.0
108209,17.0,44.0,41.0,0.555083,91.03,32.16,15,2020-07-21 16:26:21.406249984,2.0
108353,17.0,45.0,41.0,0.551239,90.8,32.16,15,2020-07-21 16:26:25.906249984,2.0
108354,17.0,45.0,40.0,0.551239,90.8,32.16,15,2020-07-21 16:26:25.937499904,2.0
108355,17.0,45.0,41.0,0.551239,90.8,32.16,15,2020-07-21 16:26:25.968750080,2.0
108356,17.0,45.0,41.0,0.551239,90.73,32.16,15,2020-07-21 16:26:26.000000000,2.0
108364,17.0,44.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.249999872,2.0
108365,17.0,44.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.281250048,2.0
108366,17.0,44.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.312499968,2.0
108367,17.0,44.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.343749888,2.0
108368,17.0,44.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.375000064,2.0
108370,17.0,45.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.437499904,2.0
108371,17.0,45.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.468750080,2.0
108372,17.0,45.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.500000000,2.0
108373,17.0,45.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.531249920,2.0
108374,17.0,45.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.562500096,2.0
108375,17.0,45.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.593750016,2.0
108376,17.0,44.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.624999936,2.0
108377,17.0,45.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.656250112,2.0
108378,17.0,45.0,42.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.687500032,2.0
108379,17.0,44.0,41.0,0.552521,90.73,32.16,15,2020-07-21 16:26:26.718749952,2.0
108380,17.0,44.0,42.0,0.553802,90.73,32.16,15,2020-07-21 16:26:26.750000128,2.0
108381,17.0,44.0,42.0,0.553802,90.73,32.16,15,2020-07-21 16:26:26.781250048,2.0
108382,17.0,44.0,42.0,0.553802,90.73,32.16,15,2020-07-21 16:26:26.812499968,2.0
108383,17.0,44.0,42.0,0.553802,90.73,32.16,15,2020-07-21 16:26:26.843749888,2.0
108384,17.0,44.0,41.0,0.553802,90.73,32.16,15,2020-07-21 16:26:26.875000064,2.0
108388,17.0,45.0,42.0,0.552521,90.88,32.15,15,2020-07-21 16:26:27.000000000,2.0
108393,17.0,44.0,41.0,0.552521,90.88,32.15,15,2020-07-21 16:26:27.156250112,2.0
108394,17.0,45.0,41.0,0.552521,90.88,32.15,15,2020-07-21 16:26:27.187500032,2.0
108395,17.0,45.0,41.0,0.552521,90.88,32.15,15,2020-07-21 16:26:27.218749952,2.0
108396,17.0,44.0,42.0,0.548677,90.88,32.15,15,2020-07-21 16:26:27.249999872,2.0
108397,17.0,45.0,41.0,0.548677,90.88,32.15,15,2020-07-21 16:26:27.281250048,2.0
108398,17.0,45.0,41.0,0.548677,90.88,32.15,15,2020-07-21 16:26:27.312499968,2.0
108401,17.0,44.0,42.0,0.548677,90.88,32.15,15,2020-07-21 16:26:27.406249984,2.0
108402,17.0,45.0,42.0,0.548677,90.88,32.15,15,2020-07-21 16:26:27.437499904,2.0
108409,17.0,44.0,42.0,0.551239,90.88,32.15,15,2020-07-21 16:26:27.656250112,2.0
108410,17.0,44.0,42.0,0.551239,90.88,32.15,15,2020-07-21 16:26:27.687500032,2.0
108413,17.0,44.0,42.0,0.547395,90.88,32.15,15,2020-07-21 16:26:27.781250048,2.0
108419,17.0,44.0,42.0,0.547395,90.88,32.15,15,2020-07-21 16:26:27.968750080,2.0
108421,17.0,44.0,42.0,0.547395,90.93,32.16,15,2020-07-21 16:26:28.031249920,2.0
108426,17.0,44.0,42.0,0.547395,90.93,32.16,15,2020-07-21 16:26:28.187500032,2.0
108427,17.0,44.0,42.0,0.547395,90.93,32.16,15,2020-07-21 16:26:28.218749952,2.0
108428,17.0,44.0,42.0,0.543551,90.93,32.16,15,2020-07-21 16:26:28.249999872,2.0
108429,17.0,44.0,42.0,0.543551,90.93,32.16,15,2020-07-21 16:26:28.281250048,2.0
108430,17.0,44.0,42.0,0.543551,90.93,32.16,15,2020-07-21 16:26:28.312499968,2.0
108432,17.0,44.0,42.0,0.543551,90.93,32.16,15,2020-07-21 16:26:28.375000064,2.0
108439,17.0,44.0,42.0,0.544833,90.93,32.16,15,2020-07-21 16:26:28.593750016,2.0
108441,17.0,44.0,42.0,0.544833,90.93,32.16,15,2020-07-21 16:26:28.656250112,2.0
108445,17.0,44.0,42.0,0.546114,90.93,32.16,15,2020-07-21 16:26:28.781250048,2.0
109143,17.0,39.0,46.0,0.520487,90.95,32.16,15,2020-07-21 16:26:50.593750016,2.0
109152,17.0,41.0,44.0,0.524331,90.95,32.16,15,2020-07-21 16:26:50.875000064,2.0
109153,17.0,41.0,44.0,0.524331,90.95,32.16,15,2020-07-21 16:26:50.906249984,2.0
109159,17.0,39.0,47.0,0.524331,90.9,32.18,15,2020-07-21 16:26:51.093750016,2.0
109160,17.0,40.0,45.0,0.524331,90.9,32.18,15,2020-07-21 16:26:51.124999936,2.0
109164,17.0,43.0,44.0,0.520487,90.9,32.18,15,2020-07-21 16:26:51.249999872,2.0
109165,17.0,42.0,45.0,0.520487,90.9,32.18,15,2020-07-21 16:26:51.281250048,2.0
109169,17.0,42.0,44.0,0.520487,90.9,32.18,15,2020-07-21 16:26:51.406249984,2.0
109172,17.0,44.0,38.0,0.519206,90.9,32.18,15,2020-07-21 16:26:51.500000000,2.0
109182,17.0,46.0,39.0,0.524331,90.9,32.18,15,2020-07-21 16:26:51.812499968,2.0
109184,17.0,47.0,39.0,0.524331,90.9,32.18,15,2020-07-21 16:26:51.875000064,2.0
109199,17.0,47.0,38.0,0.521769,90.88,32.16,15,2020-07-21 16:26:52.343749888,2.0
109200,17.0,48.0,40.0,0.521769,90.88,32.16,15,2020-07-21 16:26:52.375000064,2.0
109213,17.0,43.0,43.0,0.517925,90.88,32.16,15,2020-07-21 16:26:52.781250048,2.0
109238,17.0,44.0,42.0,0.517925,90.78,32.16,15,2020-07-21 16:26:53.562500096,2.0
109242,17.0,44.0,38.0,0.517925,90.78,32.16,15,2020-07-21 16:26:53.687500032,2.0
109247,17.0,45.0,42.0,0.52305,90.78,32.16,15,2020-07-21 16:26:53.843749888,2.0
109250,17.0,45.0,40.0,0.52305,90.78,32.16,15,2020-07-21 16:26:53.937499904,2.0
109251,17.0,43.0,41.0,0.52305,90.78,32.16,15,2020-07-21 16:26:53.968750080,2.0
109253,17.0,42.0,44.0,0.520487,90.82,32.21,15,2020-07-21 16:26:54.031249920,2.0
109255,17.0,44.0,39.0,0.520487,90.82,32.21,15,2020-07-21 16:26:54.093750016,2.0
109257,17.0,47.0,37.0,0.520487,90.82,32.21,15,2020-07-21 16:26:54.156250112,2.0
109260,17.0,47.0,43.0,0.520487,90.82,32.21,15,2020-07-21 16:26:54.249999872,2.0
109261,17.0,46.0,43.0,0.520487,90.82,32.21,15,2020-07-21 16:26:54.281250048,2.0
109281,17.0,45.0,41.0,0.511518,90.82,32.21,15,2020-07-21 16:26:54.906249984,2.0
109312,17.0,43.0,42.0,0.512799,90.93,32.16,15,2020-07-21 16:26:55.875000064,2.0
109313,17.0,44.0,42.0,0.512799,90.93,32.16,15,2020-07-21 16:26:55.906249984,2.0
109341,17.0,42.0,44.0,0.515362,91.0,32.16,15,2020-07-21 16:26:56.781250048,2.0
109346,17.0,44.0,45.0,0.515362,91.0,32.16,15,2020-07-21 16:26:56.937499904,2.0
109349,17.0,44.0,41.0,0.516643,91.08,32.16,15,2020-07-21 16:26:57.031249920,2.0
109501,17.0,43.0,43.0,0.508955,91.58,32.16,15,2020-07-21 16:27:01.781250048,2.0
109525,17.0,44.0,42.0,0.510237,91.75,32.16,15,2020-07-21 16:27:02.531249920,2.0
110611,17.0,45.0,41.0,0.498705,97.92,32.13,15,2020-07-21 16:27:36.468750080,2.0
110614,17.0,46.0,41.0,0.499986,97.92,32.13,15,2020-07-21 16:27:36.562500096,2.0
110615,17.0,45.0,40.0,0.499986,97.92,32.13,15,2020-07-21 16:27:36.593750016,2.0
110616,17.0,45.0,40.0,0.499986,97.92,32.13,15,2020-07-21 16:27:36.624999936,2.0
110652,17.0,45.0,40.0,0.501267,97.85,32.15,15,2020-07-21 16:27:37.750000128,2.0
110803,17.0,48.0,41.0,0.498705,97.8,32.15,15,2020-07-21 16:27:42.468750080,2.0
114299,17.0,-12.0,48.0,0.551239,90.33,32.21,15,2020-07-21 16:29:31.718749952,2.0
115366,17.0,60.0,-35.0,0.547395,90.92,32.21,15,2020-07-21 16:30:05.062500096,2.0
121384,17.0,-24.0,57.0,0.511518,89.27,32.16,15,2020-07-21 16:33:13.124999936,2.0
131707,17.0,55.0,31.0,0.587116,90.18,31.85,15,2020-07-21 16:38:35.718749952,2.0
131723,17.0,58.0,26.0,0.567897,90.13,31.87,15,2020-07-21 16:38:36.218749952,2.0
131969,17.0,53.0,36.0,0.510237,90.32,31.95,15,2020-07-21 16:38:43.906249984,2.0
132058,17.0,62.0,11.0,0.634526,90.08,31.91,15,2020-07-21 16:38:46.687500032,2.0
132139,17.0,56.0,26.0,0.574303,89.6,31.87,15,2020-07-21 16:38:49.218749952,2.0
132146,17.0,55.0,29.0,0.598648,89.6,31.87,15,2020-07-21 16:38:49.437499904,2.0
132166,17.0,60.0,25.0,0.533301,89.38,31.87,15,2020-07-21 16:38:50.062500096,2.0
132881,17.0,69.0,22.0,0.597367,83.6,31.95,15,2020-07-21 16:39:12.406249984,2.0
145092,17.0,39.0,50.0,3.123651,87.45,35.25,15,2020-07-22 20:34:33.968750080,2.0
145103,17.0,47.0,42.0,2.882141,88.02,35.25,15,2020-07-22 20:34:34.312499968,2.0
145199,17.0,48.0,17.0,3.244089,89.75,35.16,15,2020-07-22 20:34:37.312499968,2.0
145315,17.0,58.0,31.0,3.525964,91.35,35.15,15,2020-07-22 20:34:40.937499904,2.0
145316,17.0,52.0,37.0,3.525964,91.35,35.15,15,2020-07-22 20:34:40.968750080,2.0
145320,17.0,68.0,32.0,3.393995,91.93,35.15,15,2020-07-22 20:34:41.093750016,2.0
147099,17.0,63.0,38.0,3.285089,99.88,34.65,15,2020-07-22 20:35:36.687500032,2.0
147118,17.0,64.0,38.0,3.418339,99.68,34.65,15,2020-07-22 20:35:37.281250048,2.0
148045,17.0,55.0,30.0,3.178111,87.15,34.43,15,2020-07-22 20:36:06.249999872,2.0
148069,17.0,64.0,40.0,3.365174,86.63,34.41,15,2020-07-22 20:36:07.000000000,2.0
148121,17.0,49.0,28.0,3.12558,86.08,34.39,15,2020-07-22 20:36:08.624999936,2.0
148132,17.0,38.0,37.0,2.852673,86.08,34.39,15,2020-07-22 20:36:08.968750080,2.0
152051,17.0,40.0,30.0,2.906485,85.1,34.25,15,2020-07-22 20:38:11.437499904,2.0
152986,17.0,46.0,49.0,3.41962,87.25,34.13,15,2020-07-22 20:38:40.656250112,2.0
153324,17.0,64.0,0.0,3.64384,87.83,34.16,15,2020-07-22 20:38:51.218749952,2.0
155586,17.0,60.0,18.0,3.936593,84.72,34.09,15,2020-07-22 20:40:01.906249984,2.0
155589,17.0,54.0,14.0,3.935311,84.53,34.09,15,2020-07-22 20:40:02.000000000,2.0
168119,17.0,62.0,-4.0,4.55717,91.98,34.41,15,2020-07-22 20:46:33.562500096,2.0
168136,17.0,62.0,-23.0,4.550764,91.68,34.41,15,2020-07-22 20:46:34.093750016,2.0
168140,17.0,60.0,-18.0,4.550764,91.68,34.41,15,2020-07-22 20:46:34.218749952,2.0
168141,17.0,61.0,-10.0,4.555889,91.68,34.41,15,2020-07-22 20:46:34.249999872,2.0
168151,17.0,62.0,-12.0,4.590483,91.68,34.41,15,2020-07-22 20:46:34.562500096,2.0
168178,17.0,62.0,-7.0,4.549482,91.42,34.39,15,2020-07-22 20:46:35.406249984,2.0
169028,17.0,40.0,42.0,4.90501,88.8,34.47,15,2020-07-22 20:47:01.968750080,2.0
182836,17.0,-36.0,49.0,3.443964,68.95,35.27,15,2020-07-22 20:54:13.468750080,2.0
183382,17.0,48.0,22.0,3.569527,78.48,35.27,15,2020-07-22 20:54:30.531249920,2.0
183818,17.0,20.0,53.0,3.272276,85.6,35.34,15,2020-07-22 20:54:44.156250112,2.0
183920,17.0,-11.0,63.0,3.748903,85.72,35.31,15,2020-07-22 20:54:47.343749888,2.0
199418,17.0,-53.0,-28.0,3.551589,79.62,34.81,15,2020-07-22 21:11:51.624999936,2.0
202157,17.0,-3.0,15.0,3.041017,89.93,34.68,15,2020-07-22 21:13:17.218749952,2.0
202186,17.0,-91.0,-20.0,3.134548,89.98,34.65,15,2020-07-22 21:13:18.124999936,2.0
205586,17.0,-61.0,8.0,3.37862,95.08,34.34,15,2020-07-22 21:15:04.375000064,2.0
207526,17.0,49.0,24.0,3.59259,83.5,34.15,15,2020-07-22 21:16:05.000000000,2.0
209955,17.0,-64.0,-11.0,3.495214,83.35,34.0,15,2020-07-22 21:17:20.906249984,2.0
210307,17.0,-78.0,-45.0,3.288933,84.07,34.03,15,2020-07-22 21:17:31.906249984,2.0
212030,17.0,-87.0,38.0,3.564402,77.23,34.25,15,2020-07-22 21:18:25.750000128,2.0
213561,17.0,-46.0,-48.0,3.514433,89.03,33.93,15,2020-07-22 21:19:13.593750016,2.0
213569,17.0,-51.0,-45.0,3.28637,89.03,33.93,15,2020-07-22 21:19:13.843749888,2.0
213589,17.0,-38.0,-51.0,3.132619,89.68,33.95,15,2020-07-22 21:19:14.468750080,2.0
213597,17.0,-36.0,-51.0,3.078807,89.68,33.95,15,2020-07-22 21:19:14.718749952,2.0
213608,17.0,-36.0,-49.0,3.001932,90.25,33.93,15,2020-07-22 21:19:15.062500096,2.0
213640,17.0,-38.0,-48.0,2.862922,91.02,33.91,15,2020-07-22 21:19:16.062500096,2.0
213645,17.0,-39.0,-49.0,2.862922,91.02,33.91,15,2020-07-22 21:19:16.218749952,2.0
214024,17.0,-38.0,-49.0,2.483671,95.53,33.77,15,2020-07-22 21:19:28.062500096,2.0
214025,17.0,-38.0,-49.0,2.483671,95.53,33.77,15,2020-07-22 21:19:28.093750016,2.0
214031,17.0,-37.0,-49.0,2.475984,95.53,33.77,15,2020-07-22 21:19:28.281250048,2.0
214036,17.0,-38.0,-48.0,2.475984,95.53,33.77,15,2020-07-22 21:19:28.437499904,2.0
214038,17.0,-38.0,-49.0,2.47214,95.53,33.77,15,2020-07-22 21:19:28.500000000,2.0
214056,17.0,-39.0,-48.0,2.467015,95.93,33.75,15,2020-07-22 21:19:29.062500096,2.0
214062,17.0,-39.0,-48.0,2.469578,95.93,33.75,15,2020-07-22 21:19:29.249999872,2.0
214064,17.0,-37.0,-49.0,2.469578,95.93,33.75,15,2020-07-22 21:19:29.312499968,2.0
214069,17.0,-38.0,-48.0,2.469578,95.93,33.75,15,2020-07-22 21:19:29.468750080,2.0
214250,17.0,-38.0,-47.0,2.381061,98.02,33.71,15,2020-07-22 21:19:35.124999936,2.0
214256,17.0,-39.0,-48.0,2.382342,98.02,33.71,15,2020-07-22 21:19:35.312499968,2.0
214263,17.0,-38.0,-49.0,2.37978,98.02,33.71,15,2020-07-22 21:19:35.531249920,2.0
214503,17.0,-31.0,-52.0,2.291373,100.13,33.66,15,2020-07-22 21:19:43.031249920,2.0
214516,17.0,-35.0,-53.0,2.306748,100.13,33.66,15,2020-07-22 21:19:43.437499904,2.0
214519,17.0,-32.0,-51.0,2.292654,100.13,33.66,15,2020-07-22 21:19:43.531249920,2.0
214522,17.0,-37.0,-53.0,2.292654,100.13,33.66,15,2020-07-22 21:19:43.624999936,2.0
214532,17.0,-37.0,-48.0,2.283686,100.13,33.66,15,2020-07-22 21:19:43.937499904,2.0
214537,17.0,-36.0,-46.0,2.279842,100.43,33.65,15,2020-07-22 21:19:44.093750016,2.0
214538,17.0,-36.0,-45.0,2.279842,100.43,33.65,15,2020-07-22 21:19:44.124999936,2.0
214540,17.0,-36.0,-53.0,2.279842,100.43,33.65,15,2020-07-22 21:19:44.187500032,2.0
214543,17.0,-40.0,-47.0,2.270873,100.43,33.65,15,2020-07-22 21:19:44.281250048,2.0
214562,17.0,-33.0,-52.0,2.268311,100.43,33.65,15,2020-07-22 21:19:44.875000064,2.0
214571,17.0,-34.0,-51.0,2.260623,100.67,33.63,15,2020-07-22 21:19:45.156250112,2.0
214577,17.0,-33.0,-51.0,2.254217,100.67,33.63,15,2020-07-22 21:19:45.343749888,2.0
214579,17.0,-34.0,-51.0,2.254217,100.67,33.63,15,2020-07-22 21:19:45.406249984,2.0
214580,17.0,-33.0,-53.0,2.254217,100.67,33.63,15,2020-07-22 21:19:45.437499904,2.0
